City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,kayenta,36.7278,-110.2546,21.02,20,0,8.22,US,1698088982
308,walvis bay,-22.9575,14.5053,14.49,87,0,5.52,NA,1698088982
309,pahrump,36.2083,-115.9839,21.94,39,0,3.58,US,1698088982
310,ngama,11.7833,17.1667,32.27,17,2,3.28,TD,1698088982
311,magdagachi,53.45,125.8,-4.5,92,48,1.0,RU,1698088982
312,tabou,4.423,-7.3528,25.32,88,38,3.2,CI,1698088982
313,san pedro,14.35,121.0167,25.11,93,20,0.89,PH,1698088982
314,alaghsas,17.0187,8.0168,30.82,12,5,4.54,NE,1698088983
315,holualoa,19.6228,-155.9522,26.91,71,75,6.17,US,1698088983
316,monaragala,6.8714,81.3487,23.58,90,98,1.22,LK,1698088983
317,lepsy,46.235,78.9456,6.51,52,18,2.77,KZ,1698088830
318,novovarshavka,54.1721,74.6946,-0.96,74,10,5.76,RU,1698088983
319,christchurch,-43.5333,172.6333,13.28,87,75,2.06,NZ,1698088929
320,praia da vitoria,38.7333,-27.0667,22.14,78,75,6.91,PT,1698088983
321,kimberley,-28.7323,24.7623,18.83,32,0,3.09,ZA,1698088984
322,shagonar,51.5333,92.8,4.53,58,8,3.17,RU,1698088984
323,klishkivtsi,48.4316,26.2623,11.99,68,100,0.65,UA,1698088984
324,bardai,11.65,7.2333,25.66,26,100,1.14,NG,1698088984
325,tidjikja,18.5564,-11.4271,30.6,28,81,1.07,MR,1698088984
326,lusambo,-4.9667,23.45,22.45,96,100,0.74,CD,1698088984
327,ghadamis,30.1337,9.5007,29.18,20,0,1.15,LY,1698088984
328,keflavik,64.0049,-22.5624,5.24,87,75,3.09,IS,1698088985
329,the pas,53.8251,-101.2541,1.01,47,75,6.17,CA,1698088985
330,ialibu,-6.2821,143.9935,9.31,79,100,1.89,PG,1698088985
331,alice springs,-23.7,133.8833,26.75,17,1,6.17,AU,1698088985
332,sidney,-33.8679,151.2073,17.06,86,75,2.06,AU,1698088740
333,xichang,27.8964,102.2634,12.35,85,8,0.66,CN,1698088985
334,inirida,3.8653,-67.9239,33.03,51,100,0.67,CO,1698088985
335,jeddah,21.5169,39.2192,30.92,70,0,3.09,SA,1698088985
336,alvaraes,-3.2208,-64.8042,30.93,55,100,0.29,BR,1698088986
337,manokwari,-0.8667,134.0833,25.65,76,100,1.67,ID,1698088986
338,northam,51.0333,-4.2167,13.12,93,100,3.34,GB,1698088986
339,wewak,-3.5534,143.6268,25.53,88,100,2.18,PG,1698088986
340,pacific grove,36.6177,-121.9166,21.8,82,40,2.68,US,1698088777
341,fortuna,40.5982,-124.1573,16.63,91,100,5.14,US,1698088986
342,kintampo,8.0563,-1.7306,26.93,66,40,1.75,GH,1698088986
343,dunedin,-45.8742,170.5036,11.56,90,100,1.34,NZ,1698088987
344,mil'kovo,55.6078,37.7956,4.08,91,100,4.59,RU,1698088987
345,esquel,-42.9,-71.3167,14.46,59,96,1.68,AR,1698088987
346,jaciara,-15.9653,-54.9683,31.92,43,100,2.06,BR,1698088987
347,oamaru,-45.0784,170.9801,9.1,92,100,2.15,NZ,1698088987
348,bay roberts,47.5999,-53.2648,7.96,92,100,2.68,CA,1698088987
349,letlhakeng,-24.0944,25.0298,24.25,13,0,2.82,BW,1698088987
350,pyhajarvi,67.0701,27.2176,-10.8,97,55,1.69,FI,1698088988
351,kolonia town,6.964,158.206,25.0,94,20,1.54,FM,1698088988
352,mount isa,-20.7333,139.5,15.87,41,0,3.09,AU,1698088988
353,wanganui,-39.9333,175.05,13.11,94,100,4.31,NZ,1698088988
354,kralendijk,12.15,-68.2667,30.99,70,40,4.12,BQ,1698088988
355,lagoa,39.05,-27.9833,19.76,90,100,13.21,PT,1698088988
356,murzuq,25.9155,13.9184,28.42,18,90,4.02,LY,1698088988
357,haimen,23.1935,116.6142,22.94,86,57,5.29,CN,1698088804
358,magong,23.5654,119.5863,24.9,83,96,7.28,TW,1698088989
359,washington,47.5001,-120.5015,14.76,44,8,2.54,US,1698088847
360,kargasok,59.0556,80.8572,-1.5,87,96,5.68,RU,1698088989
361,mehndawal,26.9753,83.1117,21.68,65,0,1.58,IN,1698088989
362,plastun,44.7561,136.2939,5.13,56,0,2.15,RU,1698088989
